# Acute and Chronic signatures are obtained from Cheon 2013 EMBO and Tonic signature is from Mostafavi 2016 Cell. For tonic, tonic-sensitive genes ((log2(foldchange(WT/Ifnar1KO)) > log2(foldchange(WT+IFN / WT))/4) from both B and Macrophage were converted to human symbols using g:Orth and N/A values were manually inspected to find the matching human symbols.
Acute_IFN_sig_ISGF3	ARHGAP27
Acute_IFN_sig_ISGF3	B3GALT3
Acute_IFN_sig_ISGF3	BLZF1
Acute_IFN_sig_ISGF3	C1orf80
Acute_IFN_sig_ISGF3	CUTA
Acute_IFN_sig_ISGF3	CXCL16
Acute_IFN_sig_ISGF3	CXorf38
Acute_IFN_sig_ISGF3	DLL1
Acute_IFN_sig_ISGF3	EHD4
Acute_IFN_sig_ISGF3	EIF2AK2
Acute_IFN_sig_ISGF3	FAM46A
Acute_IFN_sig_ISGF3	FLJ11286
Acute_IFN_sig_ISGF3	HES4
Acute_IFN_sig_ISGF3	HLA-F
Acute_IFN_sig_ISGF3	IFI16
Acute_IFN_sig_ISGF3	INSIG1
Acute_IFN_sig_ISGF3	LAMA1
Acute_IFN_sig_ISGF3	MASTL
Acute_IFN_sig_ISGF3	MGC19764
Acute_IFN_sig_ISGF3	MT1M
Acute_IFN_sig_ISGF3	MYD88
Acute_IFN_sig_ISGF3	NCOA7
Acute_IFN_sig_ISGF3	NFE2L3
Acute_IFN_sig_ISGF3	NUDCD1
Acute_IFN_sig_ISGF3	OGFR
Acute_IFN_sig_ISGF3	PANX1
Acute_IFN_sig_ISGF3	PARP10
Acute_IFN_sig_ISGF3	PCGF5
Acute_IFN_sig_ISGF3	PHACTR4
Acute_IFN_sig_ISGF3	PI4K2B
Acute_IFN_sig_ISGF3	PLEKHA4
Acute_IFN_sig_ISGF3	PNPT1
Acute_IFN_sig_ISGF3	PPM1K
Acute_IFN_sig_ISGF3	PRKD2
Acute_IFN_sig_ISGF3	PRP2
Acute_IFN_sig_ISGF3	RAB20
Acute_IFN_sig_ISGF3	RASGRP3
Acute_IFN_sig_ISGF3	RNF36
Acute_IFN_sig_ISGF3	RP3-473B4.1
Acute_IFN_sig_ISGF3	SAMD9
Acute_IFN_sig_ISGF3	SOX9
Acute_IFN_sig_ISGF3	STARD5
Acute_IFN_sig_ISGF3	TDRD7
Acute_IFN_sig_ISGF3	TGM2
Acute_IFN_sig_ISGF3	TNFAIP6
Acute_IFN_sig_ISGF3	TRIM5
Acute_IFN_sig_ISGF3	UBE1L
Acute_IFN_sig_ISGF3	UNC93B1
Acute_IFN_sig_ISGF3	ZFYVE2
Chronic_IFN_sig_UISGF3	BATF2
Chronic_IFN_sig_UISGF3	BIRC4BP
Chronic_IFN_sig_UISGF3	BST2
Chronic_IFN_sig_UISGF3	DDX58
Chronic_IFN_sig_UISGF3	DDX60
Chronic_IFN_sig_UISGF3	EPSTI1
Chronic_IFN_sig_UISGF3	G1P2
Chronic_IFN_sig_UISGF3	HERC5
Chronic_IFN_sig_UISGF3	HERC6
Chronic_IFN_sig_UISGF3	IFI27
Chronic_IFN_sig_UISGF3	IFI35
Chronic_IFN_sig_UISGF3	IFI44
Chronic_IFN_sig_UISGF3	IFI44L
Chronic_IFN_sig_UISGF3	IFIH1
Chronic_IFN_sig_UISGF3	IFIT1
Chronic_IFN_sig_UISGF3	IFIT3
Chronic_IFN_sig_UISGF3	IFITM1
Chronic_IFN_sig_UISGF3	IRF7
Chronic_IFN_sig_UISGF3	MX1
Chronic_IFN_sig_UISGF3	MX2
Chronic_IFN_sig_UISGF3	OAS1
Chronic_IFN_sig_UISGF3	OAS2
Chronic_IFN_sig_UISGF3	OAS3
Chronic_IFN_sig_UISGF3	OASL
Chronic_IFN_sig_UISGF3	PLSCR1
Chronic_IFN_sig_UISGF3	RARRES3
Chronic_IFN_sig_UISGF3	RTP4
Chronic_IFN_sig_UISGF3	STAT1
Chronic_IFN_sig_UISGF3	TMEM140
Tonic_IFN_sig	ABCB1
Tonic_IFN_sig	ADAMTS6
Tonic_IFN_sig	ADAR
Tonic_IFN_sig	ADGRG7
Tonic_IFN_sig	ALDH1B1
Tonic_IFN_sig	AMIGO2
Tonic_IFN_sig	APOBEC3H
Tonic_IFN_sig	ARHGEF12
Tonic_IFN_sig	ASB13
Tonic_IFN_sig	ATP10A
Tonic_IFN_sig	B4GALT5
Tonic_IFN_sig	BATF2
Tonic_IFN_sig	BBX
Tonic_IFN_sig	BCO2
Tonic_IFN_sig	C21orf91
Tonic_IFN_sig	CA13
Tonic_IFN_sig	CCL18
Tonic_IFN_sig	CCL3
Tonic_IFN_sig	CCL3L1
Tonic_IFN_sig	CCNJ
Tonic_IFN_sig	CCNYL1
Tonic_IFN_sig	CCRL2
Tonic_IFN_sig	CD274
Tonic_IFN_sig	CD69
Tonic_IFN_sig	CDKL5
Tonic_IFN_sig	CDS1
Tonic_IFN_sig	CHIC1
Tonic_IFN_sig	CITED2
Tonic_IFN_sig	CLEC2D
Tonic_IFN_sig	CLIC4
Tonic_IFN_sig	DAXX
Tonic_IFN_sig	DCK
Tonic_IFN_sig	DCP2
Tonic_IFN_sig	DHX58
Tonic_IFN_sig	DPP4
Tonic_IFN_sig	DPY19L1
Tonic_IFN_sig	DSE
Tonic_IFN_sig	DTX3L
Tonic_IFN_sig	EHD4
Tonic_IFN_sig	EIF2AK2
Tonic_IFN_sig	ENPP4
Tonic_IFN_sig	EPSTI1
Tonic_IFN_sig	ETV6
Tonic_IFN_sig	EYA1
Tonic_IFN_sig	FAAH
Tonic_IFN_sig	FCGR1A
Tonic_IFN_sig	FGL2
Tonic_IFN_sig	GBP4
Tonic_IFN_sig	GBP5
Tonic_IFN_sig	GBP6
Tonic_IFN_sig	GCA
Tonic_IFN_sig	GCH1
Tonic_IFN_sig	GEM
Tonic_IFN_sig	GRN
Tonic_IFN_sig	GYPC
Tonic_IFN_sig	HELLS
Tonic_IFN_sig	HERC3
Tonic_IFN_sig	HK2
Tonic_IFN_sig	HSH2D
Tonic_IFN_sig	IFI27L2
Tonic_IFN_sig	IFI35
Tonic_IFN_sig	IFIH1
Tonic_IFN_sig	IFIT3
Tonic_IFN_sig	IL15RA
Tonic_IFN_sig	IL18
Tonic_IFN_sig	INPP1
Tonic_IFN_sig	INSL6
Tonic_IFN_sig	IRF1
Tonic_IFN_sig	IRF7
Tonic_IFN_sig	IRGM
Tonic_IFN_sig	ISG15
Tonic_IFN_sig	ISG20
Tonic_IFN_sig	ISOC1
Tonic_IFN_sig	KIAA0040
Tonic_IFN_sig	KIF9
Tonic_IFN_sig	KMO
Tonic_IFN_sig	LGALS13
Tonic_IFN_sig	LGALS14
Tonic_IFN_sig	LGALS16
Tonic_IFN_sig	LGALS3BP
Tonic_IFN_sig	LY6S
Tonic_IFN_sig	MAFK
Tonic_IFN_sig	MCOLN3
Tonic_IFN_sig	MID1
Tonic_IFN_sig	MITD1
Tonic_IFN_sig	MLKL
Tonic_IFN_sig	MNDA
Tonic_IFN_sig	MOV10
Tonic_IFN_sig	MS4A1
Tonic_IFN_sig	MS4A6A
Tonic_IFN_sig	MS4A6E
Tonic_IFN_sig	MTFR2
Tonic_IFN_sig	MTHFR
Tonic_IFN_sig	MTM1
Tonic_IFN_sig	MYC
Tonic_IFN_sig	N4BP1
Tonic_IFN_sig	NAA20
Tonic_IFN_sig	NAA25
Tonic_IFN_sig	NAMPT
Tonic_IFN_sig	NFXL1
Tonic_IFN_sig	NIT2
Tonic_IFN_sig	NLRC5
Tonic_IFN_sig	NMI
Tonic_IFN_sig	NOTCH1
Tonic_IFN_sig	OAS1
Tonic_IFN_sig	OAS2
Tonic_IFN_sig	OAS3
Tonic_IFN_sig	OASL
Tonic_IFN_sig	OGFR
Tonic_IFN_sig	P2RY13
Tonic_IFN_sig	P2RY14
Tonic_IFN_sig	PARP10
Tonic_IFN_sig	PARP11
Tonic_IFN_sig	PARP12
Tonic_IFN_sig	PARP14
Tonic_IFN_sig	PARP9
Tonic_IFN_sig	PCGF5
Tonic_IFN_sig	PDE7A
Tonic_IFN_sig	PFKFB3
Tonic_IFN_sig	PHF11
Tonic_IFN_sig	PHF6
Tonic_IFN_sig	PHIP
Tonic_IFN_sig	PI4K2A
Tonic_IFN_sig	PIM1
Tonic_IFN_sig	PLAAT3
Tonic_IFN_sig	PLEKHA1
Tonic_IFN_sig	PNP
Tonic_IFN_sig	PNPT1
Tonic_IFN_sig	PPM1K
Tonic_IFN_sig	PRKCQ
Tonic_IFN_sig	PRR5L
Tonic_IFN_sig	PRRG4
Tonic_IFN_sig	PSMB9
Tonic_IFN_sig	RABEPK
Tonic_IFN_sig	RASA4
Tonic_IFN_sig	RASA4B
Tonic_IFN_sig	RBL1
Tonic_IFN_sig	RIGI
Tonic_IFN_sig	RNF213
Tonic_IFN_sig	RTP4
Tonic_IFN_sig	RUNDC3B
Tonic_IFN_sig	SAMD9L
Tonic_IFN_sig	SASS6
Tonic_IFN_sig	SERPINI1
Tonic_IFN_sig	SFXN2
Tonic_IFN_sig	SGK1
Tonic_IFN_sig	SINHCAF
Tonic_IFN_sig	SLC25A22
Tonic_IFN_sig	SLFN12
Tonic_IFN_sig	SLFN12L
Tonic_IFN_sig	SLFN13
Tonic_IFN_sig	SLFN5
Tonic_IFN_sig	SOCS1
Tonic_IFN_sig	SP110
Tonic_IFN_sig	SP140
Tonic_IFN_sig	ST6GALNAC4
Tonic_IFN_sig	STAT1
Tonic_IFN_sig	STAT2
Tonic_IFN_sig	STK39
Tonic_IFN_sig	TAGAP
Tonic_IFN_sig	TAP1
Tonic_IFN_sig	TDRD7
Tonic_IFN_sig	TENT4A
Tonic_IFN_sig	TENT5A
Tonic_IFN_sig	TLR7
Tonic_IFN_sig	TMCC3
Tonic_IFN_sig	TMEM106A
Tonic_IFN_sig	TMEM67
Tonic_IFN_sig	TOMM70
Tonic_IFN_sig	TOR3A
Tonic_IFN_sig	TPST1
Tonic_IFN_sig	TRAFD1
Tonic_IFN_sig	TRIM14
Tonic_IFN_sig	TRIM21
Tonic_IFN_sig	TRIM25
Tonic_IFN_sig	TRIM34
Tonic_IFN_sig	TRIM5
Tonic_IFN_sig	TSPO
Tonic_IFN_sig	UBE2L6
Tonic_IFN_sig	UNC45B
Tonic_IFN_sig	USP25
Tonic_IFN_sig	VPS54
Tonic_IFN_sig	XAF1
Tonic_IFN_sig	ZBP1
Tonic_IFN_sig	ZEB2
Tonic_IFN_sig	ZFYVE26
Tonic_IFN_sig	ZNFX1
Tonic_IFN_sig	ZUP1
